Sale_ID,Customer_ID,Book_ID,Date_ID,Store_ID,Quantity_Sold,Sale_Amount,Discount_Applied
232624,566,237,20231125,64,2,77.96,1.8
236225,35,292,20231212,22,2,183.99,18.2
20016,140,115,20230801,47,2,152.39,13.88
396207,784,485,20231206,25,5,199.93,16.02
385291,978,255,20230929,34,4,282.56,7.56
469083,266,295,20230205,51,3,275.02,23.39
191555,612,234,20230112,27,2,76.63,2.8
165172,102,219,20231008,50,4,85.84,0.69
229236,922,262,20231005,82,3,216.59,10.79
200419,572,187,20230110,34,4,62.98,4.28
587646,4,358,20230411,96,3,199.42,11.66
963247,401,436,20230416,16,5,240.43,6.91
412104,808,198,20230710,25,2,189.66,16.96
711261,433,40,20230804,12,3,53.87,1.1
247490,7,192,20230712,91,2,152.7,2.21
174535,2,453,20230418,48,4,42.42,1.67
935650,525,240,20230628,76,3,82.23,3.1
648015,983,421,20230905,20,4,123.18,3.95
37366,137,237,20230302,1,3,159.72,5.38
989507,797,276,20230710,54,3,279.37,21.45
537529,897,83,20231119,61,1,58.87,3.68
183987,987,250,20231012,47,1,49.08,4.76
649250,974,232,20231006,22,4,286.32,11.65
68016,405,373,20230705,47,3,149.72,12.72
794938,369,357,20230105,15,2,65.45,1.42
86161,105,86,20231230,8,2,57.97,1.66
454073,486,224,20230604,90,4,170.91,12.12
561667,181,234,20230805,82,3,60.12,1.47
963727,766,36,20230730,22,3,92.28,2.67
663115,789,294,20231009,27,1,47.66,0.63
562221,981,118,20230523,36,3,94.55,4.55
464184,858,110,20230327,54,4,169.78,1.05
6093,523,179,20230824,27,5,317.32,6.72
818694,138,92,20230828,87,4,378.88,10.69
207033,541,127,20230124,52,3,276.54,15.69
529628,458,425,20230130,76,2,52.62,4.02
847872,726,379,20231112,64,3,272.59,7.01
622640,465,322,20230612,72,3,216.01,1.01
441151,217,33,20230328,36,3,185.22,6.28
203653,123,272,20230627,24,3,64.56,4.22
94785,389,328,20230913,77,2,196.34,4.39
48703,583,123,20230702,65,3,292.52,8.12
47313,599,415,20230130,24,5,167.47,2.07
413763,567,450,20230928,8,5,400.25,6.33
288641,757,389,20231012,33,3,240.27,2.98
150027,880,96,20230319,64,5,417.92,21.7
742175,194,445,20230912,42,2,79.52,0.88
158937,685,126,20230915,62,4,139.6,7.07
344241,849,390,20230530,22,4,180.76,12.85
940798,270,150,20230829,61,3,154.25,0.91
81968,705,308,20231127,69,2,73.3,2.97
449290,132,399,20230111,71,2,60.24,0.46
703472,700,164,20230308,56,2,113.5,5.54
744492,509,51,20230503,13,5,471.58,40.49
172526,500,248,20230819,34,2,25.65,1.15
510316,786,232,20230531,62,4,101.28,8.34
841720,909,119,20231218,80,2,178.81,16.98
169462,897,145,20230418,4,4,133.1,7.63
142003,15,446,20230220,49,2,156.61,8.38
180270,400,307,20231025,85,4,399.6,4.77
650318,686,233,20230717,85,3,245.19,16.1
35084,507,68,20231114,96,3,145.0,11.22
399511,528,362,20230209,83,1,29.23,1.13
798145,327,216,20230101,31,5,155.95,11.15
656399,911,222,20230810,19,5,100.94,5.73
438404,521,435,20231111,19,2,180.3,5.57
89185,994,346,20231124,77,1,78.34,7.41
446262,115,62,20231027,33,2,96.95,7.21
502884,127,422,20230121,3,3,103.03,6.07
468641,320,101,20230510,61,4,103.57,2.72
176798,838,425,20230801,87,1,78.05,1.59
495601,611,311,20231116,51,2,195.18,11.04
630730,382,62,20230814,81,1,54.74,5.07
200767,871,304,20230523,25,5,461.43,7.52
76766,211,418,20230504,19,4,57.47,2.2
402442,889,477,20230703,67,4,248.79,22.78
612458,551,499,20230127,86,4,326.72,20.26
24269,992,367,20230918,57,3,162.66,5.88
24659,72,71,20230926,54,5,445.97,26.13
392353,567,90,20231224,37,1,55.4,1.65
255791,813,23,20230815,11,5,151.52,5.65
75692,13,418,20230411,14,3,212.44,2.1
225897,738,347,20230727,72,5,145.69,9.75
396911,247,96,20230804,71,2,199.63,1.45
678195,543,12,20230310,36,1,17.53,1.65
814406,7,324,20230609,54,1,43.71,0.01
408405,26,47,20230128,42,1,84.54,7.45
71616,497,118,20230321,50,5,432.6,14.44
568385,947,73,20230121,57,1,98.01,3.95
484642,778,278,20231121,90,5,402.67,7.92
941572,637,421,20230329,9,4,190.86,5.63
468057,381,135,20230625,89,1,15.69,1.26
781783,851,254,20230403,36,3,289.93,10.87
116121,189,36,20230302,85,3,49.48,0.87
876931,297,487,20230530,82,3,149.08,9.73
268768,760,340,20230809,70,2,170.49,4.99
681468,575,7,20230509,78,2,145.43,14.29
509138,810,350,20230507,6,2,190.36,9.28
23811,316,52,20231205,55,5,152.98,10.54
41598,136,270,20230509,11,2,105.13,5.34
937979,699,144,20230120,63,2,102.73,5.59
441970,729,192,20230915,50,5,88.02,5.18
208556,203,207,20230507,92,5,373.35,23.07
217347,470,161,20230718,61,4,251.78,7.64
310349,363,61,20230909,83,3,240.54,4.88
907061,770,84,20230623,30,2,184.16,1.39
659770,580,246,20231028,95,3,245.16,9.78
39709,238,145,20230115,61,1,43.71,1.29
836554,606,22,20230521,10,4,212.75,2.47
761585,927,206,20230213,85,2,69.47,4.75
130938,159,366,20230909,94,2,20.02,1.14
266678,896,189,20230422,2,4,179.06,17.54
909433,882,386,20230404,55,2,68.59,1.81
239218,70,360,20230711,35,1,28.8,0.42
410833,127,263,20230724,15,4,114.85,1.54
56042,616,472,20230704,67,5,170.1,0.93
141200,179,347,20230730,33,4,341.24,21.04
573380,647,29,20230525,34,1,65.92,0.25
957463,154,466,20230403,90,5,408.88,22.2
312253,881,116,20230320,77,5,230.49,1.28
195015,742,250,20231110,4,1,28.89,2.88
980733,431,239,20231207,87,2,74.82,0.45
877467,401,171,20230621,5,3,289.7,3.37
371221,779,362,20230516,64,2,59.85,1.32
750595,441,189,20230114,9,4,213.26,13.66
983207,442,217,20230309,36,3,266.4,16.27
381704,959,135,20230330,52,1,51.91,0.68
787009,890,228,20230515,15,1,10.26,0.21
222326,552,192,20231118,72,3,196.19,18.22
645520,98,206,20230414,81,4,219.65,2.15
980347,828,305,20230528,22,2,144.49,1.95
287753,668,333,20230622,75,5,306.72,13.37
381335,758,153,20231114,83,4,254.75,19.28
737438,942,404,20231216,30,1,30.57,0.22
141462,908,115,20231207,55,4,322.45,14.76
907547,923,372,20231213,4,2,86.44,6.92
808550,241,242,20230811,27,3,183.37,9.24
887104,872,56,20230124,100,2,98.1,7.57
671804,385,410,20231208,76,4,217.39,1.84
683452,602,97,20230220,14,4,50.91,3.03
678566,377,403,20230408,87,2,105.51,8.57
748476,607,430,20230401,48,4,349.46,27.2
203855,494,192,20230807,81,3,61.1,4.61
382941,156,80,20230216,98,3,66.4,4.28
207083,227,301,20231027,3,4,160.2,6.36
512937,989,339,20230427,95,2,113.13,8.09
192091,470,196,20230830,75,1,75.56,5.65
864201,858,296,20230817,93,4,249.45,11.54
917424,585,222,20230710,86,3,250.88,4.93
772352,227,364,20230308,35,3,79.42,6.7
229855,836,311,20230203,43,4,321.89,4.71
670365,311,452,20231223,66,2,73.38,6.94
851717,996,239,20230419,58,1,28.8,1.25
780492,296,401,20230709,35,5,406.96,36.11
927356,89,301,20230526,11,4,213.97,7.17
465731,913,1,20230514,12,2,21.56,1.08
275658,503,342,20230505,81,3,129.0,8.46
803638,284,171,20230615,81,3,255.6,19.92
550645,232,259,20231016,26,2,162.46,4.74
946313,969,442,20230414,77,1,79.88,4.06
641073,351,491,20231022,40,1,80.74,2.1
647632,669,392,20231201,26,1,20.9,0.85
488364,474,266,20231030,45,2,172.37,0.98
606886,588,177,20231207,5,4,82.97,4.43
287221,315,38,20230724,28,4,246.1,5.27
233561,116,177,20230917,98,1,62.01,4.48
883802,813,254,20230112,33,2,30.02,0.67
672124,495,29,20230418,7,4,198.95,14.68
223662,219,402,20230402,97,3,233.61,10.69
992688,263,124,20230110,98,3,46.5,1.9
278218,243,441,20230923,86,4,63.77,5.45
54591,757,485,20230306,89,2,23.6,2.11
849979,826,326,20230808,60,4,387.35,19.99
595442,313,147,20230602,45,4,163.94,1.77
679282,483,164,20230203,34,2,167.3,8.64
826651,351,105,20230714,83,5,227.03,8.72
470468,850,208,20231224,77,3,112.5,6.82
302577,498,273,20230502,64,1,48.68,0.8
776139,992,299,20230318,22,2,167.39,14.28
970535,518,56,20230402,91,2,35.41,3.51
745014,314,184,20230625,92,2,98.07,0.36
264548,346,204,20230911,100,2,169.2,14.36
590515,262,237,20230312,62,1,38.44,2.74
332955,45,472,20230316,74,4,308.71,2.26
385858,958,35,20230608,97,3,94.88,3.29
578392,900,335,20230106,43,5,227.19,0.55
382170,478,210,20230627,54,5,321.38,9.67
254791,612,457,20230630,17,4,97.21,3.54
297133,297,364,20231213,44,1,14.03,0.7
967296,324,32,20230206,42,5,167.44,11.59
771947,135,415,20230304,3,3,102.05,0.22
514082,525,254,20230215,86,2,176.92,14.92
350654,514,9,20230503,63,4,105.98,5.74
227756,742,55,20231009,53,2,61.76,3.45
261894,436,213,20230629,63,4,87.41,0.05
646543,48,132,20230814,7,1,15.3,0.97
275381,224,435,20230526,59,4,209.61,16.23
377993,243,119,20231112,74,2,176.87,16.02
711688,846,249,20230708,76,3,74.45,5.31
80509,838,268,20230218,61,1,72.53,1.36
320277,462,146,20230910,27,3,263.82,0.63
301982,227,306,20231220,61,2,175.96,9.78
212776,753,400,20230926,34,1,46.52,0.48
524703,236,462,20231028,9,4,369.95,9.51
871987,570,232,20230610,50,2,137.12,11.49
609125,455,374,20230228,28,5,286.12,19.02
188583,355,39,20230610,19,4,219.06,0.34
236759,798,418,20230325,28,5,279.45,16.55
349428,187,265,20230303,75,2,113.61,7.1
493272,763,117,20230311,52,1,76.52,1.68
187828,373,347,20230623,44,4,103.81,7.45
892073,118,57,20230823,3,3,162.48,2.24
194172,35,113,20230426,5,3,286.08,24.57
165108,766,30,20230612,33,4,100.33,1.7
277141,371,109,20230101,34,1,86.77,3.06
349739,88,271,20230608,48,3,243.51,23.47
302622,46,471,20231105,82,3,102.83,3.81
153739,71,267,20230104,1,4,49.72,3.06
404740,742,429,20230823,86,2,100.79,5.14
873260,727,105,20230412,28,5,204.14,19.51
825245,284,352,20230228,93,1,97.26,6.82
857087,306,340,20231001,8,3,65.98,5.23
902873,384,371,20230321,74,1,30.73,0.29
997848,426,490,20231221,68,2,50.77,3.35
771215,813,434,20230125,35,2,141.9,3.69
208817,215,486,20230702,37,2,100.68,4.16
894409,21,150,20231122,57,1,71.04,1.51
582360,473,333,20231025,26,3,184.04,3.63
28383,334,247,20230315,30,5,479.32,38.84
956758,24,462,20231117,86,5,439.74,17.86
355317,705,410,20230912,5,2,32.34,1.04
873142,66,493,20230903,48,5,324.14,18.98
287546,580,228,20230317,79,4,326.89,22.63
680542,475,96,20231021,66,5,199.07,18.65
439219,699,311,20230904,48,5,148.03,7.13
576165,716,329,20231201,46,4,172.67,4.46
707384,441,82,20230626,2,4,353.39,20.38
958006,674,67,20230719,55,1,55.37,4.81
518078,939,18,20231212,80,1,75.3,1.7
547901,260,130,20231024,64,5,298.95,7.77
4331,595,338,20230511,54,4,96.56,7.01
458782,995,233,20230106,22,1,94.05,6.86
366717,810,472,20230208,53,5,241.82,14.67
130020,132,255,20230103,68,2,62.89,1.59
692169,992,222,20230128,86,1,80.82,7.32
717570,431,54,20230907,74,4,383.24,28.56
334093,51,48,20230618,90,2,176.62,6.57
101245,291,383,20230706,10,5,381.44,15.02
796548,421,5,20230721,12,3,65.57,6.46
201574,207,436,20230921,67,3,152.6,9.16
648954,30,449,20230623,81,1,89.35,2.36
840563,1,158,20230722,47,1,54.51,5.06
298654,711,151,20230812,31,3,149.81,2.82
136487,487,362,20230202,84,5,183.32,13.2
633481,73,43,20230417,65,2,50.49,3.63
751202,710,268,20231115,22,1,30.91,2.05
588891,649,397,20231024,98,3,188.42,6.55
344542,158,75,20231128,93,5,305.94,24.12
728245,41,485,20230215,47,1,13.27,0.68
212472,157,10,20231015,24,4,76.26,2.27
358118,374,479,20230602,15,5,305.36,3.22
305056,513,487,20231002,9,4,267.67,10.04
341592,822,69,20230506,31,3,125.45,11.43
800189,12,385,20230419,49,5,217.68,3.25
970852,679,121,20230403,11,3,240.47,18.91
946179,814,113,20230223,49,5,101.1,9.91
198866,960,356,20230613,20,5,374.13,5.82
641885,792,372,20230709,93,3,262.11,12.29
78098,105,27,20230621,9,5,339.31,21.03
833249,721,425,20230402,10,5,151.71,4.46
917989,553,459,20230722,84,2,179.05,3.41
594018,915,419,20230226,2,3,205.99,4.24
288406,612,160,20230218,49,2,125.19,6.12
260349,248,194,20231225,68,2,107.08,7.81
480422,123,419,20231204,96,1,20.84,1.0
597716,598,356,20230815,35,5,108.03,6.06
932493,419,170,20231026,25,4,259.32,16.82
527104,206,177,20230826,30,4,225.06,19.26
231859,780,258,20230308,96,5,188.69,6.39
960321,215,385,20231025,94,5,197.26,16.52
126880,846,193,20230822,93,4,338.11,14.32
754395,429,485,20231122,84,4,339.82,10.78
716000,491,314,20231225,55,4,59.05,3.24
535119,32,403,20230808,3,4,80.48,1.73
50426,846,151,20230620,75,4,168.15,5.68
534501,445,433,20231024,23,2,184.78,8.74
119391,97,224,20230205,78,4,358.34,31.52
207873,531,249,20230730,86,2,185.61,18.48
444093,99,465,20230407,5,3,179.65,8.64
965448,955,207,20230913,90,3,99.27,9.04
665657,132,212,20230205,12,1,51.3,1.85
434139,85,387,20231205,65,2,48.78,2.89
115008,337,413,20231010,57,4,219.44,18.16
694175,39,433,20230618,20,4,309.25,25.13
826364,937,99,20230425,28,5,352.83,30.37
694028,30,250,20230729,8,5,119.23,8.27
712034,569,442,20230131,57,3,174.1,4.66
333073,254,148,20230326,27,5,484.9,44.24
70226,1,489,20230921,67,1,52.4,3.14
518689,545,379,20230923,41,5,132.71,5.5
358764,257,233,20230805,32,1,12.47,0.69
405994,458,379,20231019,19,1,52.37,0.63
805909,31,469,20230503,57,1,77.33,7.35
345223,620,244,20231228,54,4,84.82,3.97
189247,9,403,20230427,10,4,82.93,7.95
695726,716,395,20230807,61,2,64.14,6.37
642963,563,399,20231216,64,5,169.45,9.55
559736,48,395,20231130,87,5,153.03,13.21
621938,313,70,20230510,98,4,111.58,4.99
994642,942,150,20230123,24,2,131.57,12.81
338485,42,413,20230326,44,5,460.5,15.46
128909,633,204,20231010,38,3,253.91,21.82
28694,284,438,20231125,21,5,482.05,5.32
622586,852,174,20231106,60,3,52.62,3.58
484895,223,76,20231125,29,4,266.97,13.0
316968,160,428,20230717,70,5,74.1,5.8
593301,872,420,20230119,58,4,283.02,24.65
619600,43,443,20231222,99,4,286.22,17.76
705695,544,498,20230306,55,1,19.13,0.68
674185,967,484,20230213,1,2,130.96,11.37
986338,552,499,20230528,25,1,26.77,2.0
760395,745,449,20231112,79,2,116.2,9.85
424184,781,190,20231212,25,4,136.42,6.51
393179,240,464,20230620,88,4,116.47,1.65
471029,804,177,20230427,66,1,43.68,1.02
668609,87,335,20230921,49,4,112.44,6.22
321123,367,389,20231102,15,5,487.49,40.44
194249,351,274,20230318,15,5,333.86,14.05
155818,410,481,20231008,32,2,195.56,5.88
128963,80,170,20231009,45,5,331.16,9.3
103762,369,483,20230404,4,3,217.38,19.54
625539,210,200,20230119,31,4,203.26,2.24
880199,237,138,20231031,36,4,174.88,4.5
395691,927,428,20231129,2,4,305.41,29.97
199884,371,25,20230709,33,4,339.42,13.87
620139,771,492,20230215,54,2,88.27,8.48
452848,612,358,20230809,74,2,39.36,2.59
869551,286,100,20230307,6,5,348.88,28.0
138501,919,409,20230528,82,5,284.07,5.58
705434,770,191,20230215,28,5,89.86,1.82
963745,112,29,20230831,99,3,242.97,18.31
881977,413,276,20230809,33,2,140.45,9.23
334997,762,96,20231112,4,5,87.22,1.67
255471,921,500,20230823,44,4,79.93,0.41
395475,168,412,20230401,28,4,286.63,11.49
870809,329,253,20230502,20,1,71.06,4.61
205187,978,493,20231025,18,5,154.85,11.26
505165,629,333,20230101,67,4,390.26,3.51
612174,405,205,20230827,76,3,191.61,10.41
449482,620,262,20230120,11,4,263.11,10.0
991350,577,139,20230412,63,2,61.69,3.09
181157,270,451,20231118,87,2,191.46,4.03
355738,516,414,20230208,62,2,149.37,0.95
368656,751,377,20231109,54,3,79.41,1.34
540740,341,77,20230801,44,5,486.98,24.45
401229,547,243,20230202,91,2,166.78,15.03
371231,355,429,20230321,55,2,77.5,2.76
993518,620,462,20230510,13,2,183.65,6.59
134200,448,337,20230224,81,1,45.57,1.03
719305,213,402,20230130,30,4,185.95,1.61
306294,791,2,20231230,34,3,229.81,11.15
71095,751,340,20230301,82,1,77.12,5.74
295374,639,367,20230611,95,5,107.19,9.13
245163,843,38,20230108,4,1,87.55,4.08
299948,232,321,20230515,5,2,138.25,0.84
192978,741,47,20231101,31,5,443.18,12.58
921792,883,492,20231106,62,1,98.3,0.45
201464,996,295,20230525,9,4,167.24,5.75
154304,476,349,20230520,39,2,87.74,3.42
661635,371,408,20230117,33,2,153.18,1.78
874724,196,250,20231229,40,3,159.13,12.85
745983,194,304,20230427,81,4,299.44,28.73
706739,101,369,20230913,46,2,32.67,0.63
170742,500,423,20231010,55,1,66.49,5.35
546566,410,494,20230516,14,3,83.09,6.94
601886,424,151,20230226,24,3,149.52,5.16
151345,299,499,20231031,18,4,75.92,1.26
44528,421,245,20230222,71,2,158.57,12.88
146764,713,437,20230401,25,5,498.43,9.83
540977,405,257,20230928,53,1,49.97,3.73
867516,843,378,20230710,78,1,86.1,7.98
787439,360,312,20231206,26,4,252.48,14.35
838072,645,268,20231228,43,5,412.44,28.2
682447,64,408,20231111,74,2,59.44,0.61
708535,14,55,20230517,19,5,106.55,9.93
384231,862,194,20230913,46,5,434.67,28.44
43108,627,212,20230829,85,3,239.12,22.05
791089,119,277,20230606,65,3,280.89,21.69
660458,77,352,20230509,86,5,185.61,15.71
465934,571,221,20230923,64,2,166.41,7.76
822035,967,7,20231224,73,3,204.69,10.32
474879,94,157,20230126,99,4,146.38,9.52
60181,332,159,20230823,12,3,187.03,12.15
935635,957,402,20230311,46,3,43.03,3.32
138799,666,436,20231029,83,2,137.82,5.15
722993,452,57,20230518,66,1,85.24,8.44
863399,8,385,20230120,86,2,195.91,0.69
71749,543,242,20231229,25,2,47.34,0.9
189037,856,17,20231111,53,3,251.18,1.06
134599,255,92,20230831,89,1,57.53,4.1
713826,555,239,20230720,59,5,69.73,1.89
485219,731,221,20230514,31,1,52.28,0.35
371146,28,296,20230924,24,1,82.26,5.23
954934,306,401,20230626,91,4,398.55,24.74
166472,536,156,20230414,96,1,82.43,0.25
540446,206,318,20230808,46,4,176.4,12.24
804231,780,256,20230816,79,5,445.68,36.61
331456,380,268,20230618,34,4,183.24,14.91
701045,742,59,20230214,42,2,104.2,5.13
179282,227,329,20230313,84,1,80.71,0.44
252567,346,410,20231004,23,1,64.5,4.17
548358,923,177,20231005,70,2,57.45,5.3
192266,467,32,20230521,20,5,163.18,1.11
186387,696,280,20231218,50,3,219.75,18.82
627144,322,61,20230124,3,2,167.08,11.28
573640,878,137,20230816,90,2,154.96,2.15
877409,154,356,20230625,40,2,149.92,12.73
333577,482,248,20231121,51,1,71.61,2.55
984039,338,480,20231013,47,1,57.5,2.04
30081,333,24,20230416,95,5,405.09,29.9
608845,589,202,20230429,70,2,46.04,2.86
108346,884,170,20231105,5,5,124.21,10.15
169437,498,391,20230905,12,3,86.88,2.82
966251,334,53,20231224,66,1,54.22,0.75
388483,482,189,20230507,48,1,34.0,0.85
670768,306,263,20231209,90,5,313.4,22.57
410046,400,352,20231115,52,2,137.48,4.75
711584,299,367,20230125,70,3,71.99,2.08
228526,766,163,20231022,100,4,141.08,6.9
187437,504,436,20230917,25,3,181.95,9.57
698540,371,433,20231120,47,4,228.18,0.74
154450,319,70,20230920,73,5,221.38,14.27
847657,841,357,20231202,71,2,162.21,13.0
430043,374,490,20230501,14,3,86.98,4.91
956186,28,148,20230831,82,1,31.83,0.95
718706,752,402,20230308,22,2,91.61,2.67
340570,692,270,20230528,13,1,22.51,0.09
667452,861,462,20230420,67,2,145.65,11.24
294170,619,394,20230313,67,1,33.65,1.24
19288,450,67,20230624,50,5,480.35,6.38
972118,871,400,20230419,78,1,77.28,7.42
264717,804,423,20231125,69,4,360.28,22.26
958052,693,295,20231218,61,2,140.28,12.75
993876,891,221,20231124,59,5,135.7,2.0
434895,116,434,20230111,21,3,128.73,1.6
268527,866,116,20230609,81,1,76.83,1.27
336169,495,445,20230316,44,3,273.68,0.97
765914,327,190,20230222,75,1,28.54,2.59
128505,907,422,20230622,4,3,30.77,3.05
644841,677,349,20230805,15,3,73.93,5.01
962975,180,270,20230423,94,5,87.0,7.82
71509,623,195,20231111,80,1,69.0,0.47
956604,667,500,20230711,87,3,55.77,2.4
729378,898,186,20230204,75,4,250.82,15.91
751968,316,101,20231223,50,2,22.79,1.38
74194,758,195,20230108,31,5,434.31,18.13
842077,773,362,20231217,22,2,120.63,6.22
509729,231,40,20230715,69,3,42.18,1.27
615348,41,207,20230719,81,5,98.59,7.03
853948,896,301,20231216,76,2,155.13,4.07
540604,336,68,20230802,21,5,171.76,7.96
290987,422,340,20230706,23,4,274.78,25.92
689156,913,393,20230421,85,3,60.29,1.3
605509,547,327,20230207,8,3,243.5,8.93
623320,846,109,20230405,81,5,161.63,13.67
493882,921,83,20231103,24,2,61.52,1.81
636960,957,404,20230422,11,1,32.55,2.0
206058,940,333,20230823,17,4,215.22,5.5
891199,394,226,20231029,89,1,89.01,8.23
18024,324,236,20230222,38,1,81.6,1.01
984053,199,177,20230309,8,4,90.23,1.37
246287,443,391,20230128,54,4,306.86,0.95
76625,617,394,20230520,3,5,152.72,11.65
73252,17,401,20231214,79,4,346.95,10.21
483729,1000,299,20230626,39,1,31.78,3.03
114314,322,249,20231219,80,3,212.16,4.21
323261,990,422,20230506,39,1,74.09,7.25
417091,163,457,20230621,77,3,77.09,1.32
195206,131,113,20230214,48,2,92.05,2.69
348695,320,136,20230802,42,1,67.37,3.23
581318,513,277,20230908,24,3,198.22,4.39
941566,145,454,20230306,84,2,21.25,1.57
945020,558,231,20231112,27,4,151.6,9.88
403372,522,273,20230105,7,2,52.91,3.35
731620,804,69,20230404,66,2,113.77,3.84
377274,343,104,20231129,98,2,80.05,4.91
922548,183,485,20230716,81,1,63.36,0.56
419765,439,205,20230311,26,2,20.34,0.95
251646,466,196,20230816,59,5,165.48,13.06
879099,544,446,20230506,100,3,56.02,3.89
458307,727,307,20230929,7,1,43.45,4.23
22567,521,164,20230131,80,4,385.95,30.43
992532,56,144,20230724,86,4,156.04,9.87
342097,433,436,20230728,56,4,177.0,3.4
792465,293,65,20230119,44,2,125.82,11.32
7900,281,59,20230216,90,4,291.61,2.37
622072,7,300,20230911,21,3,143.85,10.8
211224,756,206,20231222,68,5,142.41,0.3
480957,526,259,20231125,59,1,98.38,5.47
992612,709,451,20230715,41,1,29.46,2.18
326370,435,41,20230924,82,1,41.01,0.15
119214,411,440,20230828,70,3,146.83,14.11
658480,489,33,20230429,9,5,386.78,0.89
36000,883,57,20230115,26,1,54.71,3.85
570147,199,438,20230914,63,2,193.11,6.85
50239,526,192,20231115,92,5,270.52,15.75
273432,277,31,20230513,40,3,280.57,1.03
331864,806,247,20231019,53,3,288.9,1.94
410503,631,423,20230522,40,5,247.64,19.77
458600,581,162,20230403,56,4,309.73,24.44
713900,210,60,20230903,45,5,357.61,19.41
879314,997,389,20230527,93,2,181.34,9.12
804982,318,346,20231116,14,5,377.82,12.41
242671,514,421,20230504,57,4,374.1,11.13
294213,312,491,20230512,64,1,71.68,6.45
736760,176,39,20231008,1,2,184.06,4.98
342778,104,471,20230211,16,2,152.25,7.43
809294,564,84,20230116,55,3,73.48,1.53
974043,946,294,20230607,26,1,75.98,7.24
492661,431,341,20230517,10,2,111.77,0.65
445736,566,84,20230818,72,4,191.77,10.66
